ASX Listed Companies (1 June 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap
GC1,Glennon SML Co Limited,,"45,923,900",0.002,,
GCI,Gryphon Capital Ordinary Units FP,,"176,176,000",0.009,,
GCM,Garda Capital Group Stapled Securities,,"27,753,000",0.001,,
GCN,Goconnect Limited,Information Technology,"6,989,600",0.000,,
GCR,Golden Cross,Materials,"2,032,260",0.000,,
GCS,Global Construction,Industrials,"155,103,000",0.008,,
GCY,Gascoyne Res Limited,Materials,"249,954,000",0.012,,
GDF,Garda DIV Prop Fund Ordinary Units FP,Real Estate,"164,749,000",0.008,,
GDG,Generation DEV Group,Financials,"151,484,000",0.007,,
GDI,GDI Property Group Stapled Securities FP,Real Estate,"705,715,000",0.034,,
GDX,Vaneck Gold Miners ETF Cdis 1:1,,"70,770,200",0.003,,
GEAR,Betshares GEAR Fund ETF Units FP,,"79,389,100",0.004,,
GED,Golden Deeps,Materials,"7,026,610",0.000,,
GEM,G8 Education Limited,Consumer Discretionary,"1,129,150,000",0.055,,
GES,Genesis Resources,Materials,"6,262,730",0.000,,
GEV,Global Ene Ven Limited,Energy,"88,739,600",0.004,,
GFI,Global Fortune Limited,Materials,"20,275,300",0.001,,
GFL,Global Masters Fund,Financials,"22,089,700",0.001,,
GFY,Godfreys Group Limited,Consumer Discretionary,"13,749,700",0.001,,
GGE,Grand Gulf Energy,Energy,"3,070,000",0.000,,
GGG,Greenland Min En Limited,Materials,"90,646,300",0.004,,
GGUS,Beta Geared US EQ Trading Managed Fund Units FP,,"20,865,000",0.001,,
GGX,GAS2GRID Limited,Energy,"3,194,580",0.000,,
GID,Gi Dynamics Inc Cdi Forus,Health Care,"16,036,500",0.001,,
GLA,Gladiator Resources,Materials,"5,201,000",0.000,,
GLB,Globe International,Consumer Discretionary,"60,122,500",0.003,,
GLE,GLG Corp Limited,Consumer Discretionary,"13,708,500",0.001,,
GLH,Global Health Limited,Health Care,"7,521,810",0.000,,
GLIN,Ampcap Global Infra Trading Managed Fund Units FP,,"23,007,200",0.001,,
GLL,Galilee Energy Limited,Energy,"33,198,800",0.002,,
GMA,Genworth Mortgage,Financials,"1,160,840,000",0.056,,
GMC,Gulf Manganese Corp,Materials,"31,832,700",0.002,,
GMD,Genesis Minerals,Materials,"34,610,200",0.002,,
GME,GME Resources Limited,Materials,"64,903,500",0.003,,
GMERB,GME Resources Limited Rights - Applications Close 05-Jun-2018,,"463,596",0.000,,
GMG,Goodman Group Stapled Securities FP,Real Estate,"16,819,100,000",0.815,,
GML,Gateway Mining,Materials,"23,431,700",0.001,,
GMN,Gold Mountain Limited,Materials,"54,090,000",0.003,,
GMR,Golden Rim Resources,Materials,"12,177,300",0.001,,
GMV,G Medical,Health Care,"27,524,800",0.001,,
GMY,Goldfields Money,Financials,"35,751,800",0.002,,
GNC,Graincorp Limited Class A,Consumer Staples,"1,833,130,000",0.089,,
GNE,Genesis Energy Limited Foreign Exempt NZX,Utilities,"2,228,780,000",0.108,,
GNG,GR Engineering Limited,Materials,"219,232,000",0.011,,
GNX,GENEX Power Limited,Utilities,"88,140,100",0.004,,
GO2,THEGO2PEOPLE,Industrials,"6,052,590",0.000,,
GOE,Go Energy Group Limited,Industrials,"9,747,050",0.000,,
GOLD,ETFs Physical GOLD,Financials,"598,106,000",0.029,,
GOO,Gooroo Ventures Limited,Information Technology,"4,045,990",0.000,,
GOR,Gold Road Res Limited,Materials,"662,511,000",0.032,,
GOVT,SPDR GOVT Bond ETF Units FP,,"12,924,900",0.001,,
GOW,Gowing Bros. Limited,Financials,"162,114,000",0.008,,
GOZ,Growthpoint Property Unit/ Stapled Securities,Real Estate,"2,397,610,000",0.116,,
GPP,Greenpower ENRGY Limited,Energy,"9,137,590",0.000,,
GPR,Geopacific Resources,Materials,"63,066,800",0.003,,
GPS,GPS Alliance Limited,Real Estate,"5,157,750",0.000,,
GPT,GPT Group Stapled Securities FP,Real Estate,"9,078,600,000",0.440,,
GPX,Graphex Mining Limited,Materials,"23,123,500",0.001,,
GRB,Gage Roads Brewing,Consumer Staples,"73,982,300",0.004,,
GROW,SCH Real Return Fund Trading Managed Fund Units FP,,"45,620,900",0.002,,
GRR,Grange Resources,Materials,"219,894,000",0.011,,
GRV,Greenvale Energy Limited,Energy,"3,174,080",0.000,,
GSC,Global Geoscience,Materials,"636,113,000",0.031,,
GSL,Greatcell Solar Limited,Information Technology,"65,971,600",0.003,,
GSS,Genetic Signatures,Health Care,"40,555,800",0.002,,
GSW,Getswift Limited,Information Technology,"49,589,100",0.002,,
GTE,Great Western Exp,Materials,"9,201,990",0.000,,
GTG,Genetic Technologies,Health Care,"24,352,800",0.001,,
GTK,Gentrack Group Limited Foreign Exempt NZX,Information Technology,"553,239,000",0.027,,
GTN,GTN Limited,Consumer Discretionary,"476,408,000",0.023,,
GTR,Gti Resources,Materials,"3,321,390",0.000,,
GTY,Gateway Lifestyle Stapled Securities,Real Estate,"543,962,000",0.026,,
GUD,G.U.D. Holdings,Consumer Discretionary,"1,110,930,000",0.054,,
GUL,Gullewa Limited,Materials,"4,203,450",0.000,,
GVF,Global Value FND Limited,,"159,043,000",0.008,,
GWA,GWA Group Limited,Industrials,"942,293,000",0.046,,
GWR,GWR Group Limited,Materials,"44,186,500",0.002,,
GXL,Greencross Limited,Consumer Discretionary,"539,884,000",0.026,,
GXY,Galaxy Resources,Materials,"1,421,760,000",0.069,,
GZL,GAZAL Corporation,Consumer Discretionary,"104,258,000",0.005,,
HACK,Beta Global Cyber ETF Units FP,,"72,428,400",0.004,,
HAR,Haranga Res Limited,Materials,"1,453,580",0.000,,
HAS,Hastings Tech Met,Materials,"181,346,000",0.009,,
HAV,Havilah Resources,Materials,"39,284,800",0.002,,
HAW,Hawthorn Resources,Materials,"16,063,300",0.001,,
HBRD,Beta Active Hybrids Trading Managed Units FP,,"77,482,500",0.004,,
HCH,Hot Chili Limited,Materials,"23,130,400",0.001,,
HCO,Hylea Metals Limited,Materials,"14,431,000",0.001,,
HCT,Holista Colltech Limited,Consumer Staples,"16,005,300",0.001,,
HDX,Hughes Drilling Limited,Materials,"476,935",0.000,,
HDY,Hardey Resources Limited,Materials,"6,809,080",0.000,,
HE8,Helios Energy Limited,Energy,"66,675,700",0.003,,
HEG,Hill End Gold,Materials,"12,414,400",0.001,,
HEUR,Betashares WT Europe ETF Units FP,,"53,208,500",0.003,,
HFR,Highfield Res Limited,Materials,"256,952,000",0.012,,
HGL,Hudson Investment,Real Estate,"11,346,800",0.001,,
HGM,High Grade Metals,Materials,"14,922,800",0.001,,
HGO,Hillgrove Res Limited,Materials,"54,617,200",0.003,,
HHM,Hampton Hill Mining,Materials,"9,728,580",0.000,,
HHY,HHY Fund Ordinary Units FP,,"7,326,630",0.000,,
HIG,Highlands Pacific 40 Toea,Materials,"137,779,000",0.007,,
HIL,Hills Limited,Information Technology,"52,196,700",0.003,,
HIT,Hitech Group Aust,Industrials,"38,430,500",0.002,,
HJPN,Betashares WT Japan ETF Units FP,,"69,872,500",0.003,,
HLO,Helloworld Travl Limited,Consumer Discretionary,"566,891,000",0.027,,
HLX,HELIX Resources,Materials,"14,200,800",0.001,,
HML,Henry Morgan Limited,,"61,381,800",0.003,,
HMO,Hearmeout Limited,Information Technology,"3,251,330",0.000,,
HMX,Hammer Metals Limited,Materials,"8,067,760",0.000,,
HNG,HGL Limited,Industrials,"28,092,800",0.001,,
HNR,Hannans Limited,Materials,"29,642,100",0.001,,
HOG,Hawkley Oil and Gas,Energy,"1,219,580",0.000,,
HOM,Homeloans Limited,Financials,"219,641,000",0.011,,
HOR,Horseshoe Metals Limited,Materials,"3,114,440",0.000,,
HOT,Hotcopper Holdings,Information Technology,"26,400,000",0.001,,
HPI,Hotel Property Stapled Security FP,Real Estate,"474,843,000",0.023,,
HPR,High Peak Royalties,Utilities,"8,197,820",0.000,,
HRL,Hrlholding,Industrials,"103,615,000",0.005,,
HRN,Horizon Gold Limited,Materials,"6,000,000",0.000,,
HRR,Heron Resources,Materials,"143,792,000",0.007,,
HSN,Hansen Technologies,Information Technology,"884,917,000",0.043,,
HSO,Healthscope Limited,Health Care,"4,088,300,000",0.198,,
HT1,HT&E Limited,Consumer Discretionary,"732,122,000",0.035,,
HT8,Harris Technology GL,Consumer Discretionary,"7,545,960",0.000,,
HTA,Hutchison,Telecommunication Services,"678,625,000",0.033,,
HUB,HUB24 Limited,Financials,"848,692,000",0.041,,
HUO,Huon Aquaculture Group,Consumer Staples,"406,118,000",0.020,,
HVN,Harvey Norman,Consumer Discretionary,"4,011,080,000",0.194,,
HVST,Beta Divharvester ETF Units FP,,"208,523,000",0.010,,
HWK,Hawkstone MNG Limited,Materials,"9,937,220",0.000,,
HXG,Hexagon Resources,Materials,"51,698,300",0.003,,
HZN,Horizon Oil Limited,Energy,"175,767,000",0.009,,
HZR,HAZER Group Limited,Materials,"24,724,600",0.001,,
IAA,Ishs Asia 50 ETF Chess Depositary Interests 1:1 Ishasia,,"431,818,000",0.021,,
IAB,Inabox Group Limited,Telecommunication Services,"13,100,000",0.001,,
IAF,Ishares Comp BND ETF Units FP,,"557,051,000",0.027,,
IAG,Insurance Australia,Financials,"19,248,000,000",0.932,,
IAM,Intiger Group Limited,Information Technology,"24,127,100",0.001,,
IAU,Intrepid Mines,Materials,"14,675,400",0.001,,
IB8,Ibosses Corp Limited,Consumer Discretionary,"46,438,000",0.002,,
IBC,Ironbark Capital Limited,Financials,"67,256,700",0.003,,
IBG,Ironbark ZINC Limited,Materials,"27,443,600",0.001,,
IBK,Ishs MSCI Bric ETF Chess Depositary Interests 1:1 Ishbric,,"38,620,800",0.002,,
IBN,Ibuynew Group Limited,Information Technology,"8,442,950",0.000,,
IBX,Imagion Biosys Limited,Health Care,"7,697,550",0.000,,
ICG,Inca Minerals Limited,Materials,"12,963,900",0.001,,
ICI,Icandy Interactive,Information Technology,"16,908,800",0.001,,
ICN,Icon Energy Limited,Energy,"14,938,900",0.001,,
ICQ,Icar Asia Limited,Consumer Discretionary,"89,618,000",0.004,,
ICS,Icsglobal Limited,Health Care,"12,178,600",0.001,,
ICT,Icollege Limited,Consumer Discretionary,"21,676,300",0.001,,
ICU,Isentric Limited,Information Technology,"5,509,650",0.000,,
IDA,Indiana Resources,Materials,"5,691,860",0.000,,
IDO,Indo Mines Limited,Materials,"2,690,130",0.000,,
IDR,Industria REIT Stapled Securities,Real Estate,"413,613,000",0.020,,
IDT,IDT Australia Limited,Health Care,"18,141,600",0.001,,
IDX,Integral Diagnostics,Health Care,"404,673,000",0.020,,
IDZ,Indoor Skydive Aust,Consumer Discretionary,"20,504,500",0.001,,
IEC,Intra Energy Corp,Energy,"5,040,410",0.000,,
IEL,Idp Education Limited,Consumer Discretionary,"2,422,860,000",0.117,,
IEM,Ishs MSCI Emg Mktetf Chess Depositary Interests 1:1 Ishmsciem,,"647,719,000",0.031,,
IEQ,International Equiti,Real Estate,"5,128,940",0.000,,
IEU,Ishs Europe ETF Chess Depositary Interests 1:1 ISHEU350,,"823,213,000",0.040,,
IFL,IOOF Holdings Limited,Financials,"3,071,920,000",0.149,,
IFM,Infomedia Limited,Information Technology,"279,741,000",0.014,,
IFN,Infigen Energy Stapled Securities FP,Utilities,"710,775,000",0.034,,
IFRA,Vaneck Infrastruct ETF Units FP,,"72,852,000",0.004,,
IFT,Infratil Limited Foreign Exempt NZX,Utilities,"1,772,910,000",0.086,,
IGB,Ishares Treasury ETF Units FP,,"25,607,100",0.001,,
IGE,Int Green Energy,Industrials,"73,274,000",0.004,,
IGL,Ivegroup,Consumer Discretionary,"330,271,000",0.016,,
IGO,Independence Group,Materials,"2,840,360,000",0.138,,
IGS,Int Goldfields Limited,Materials,"2,324,080",0.000,,
IHCB,Ishares GBL BND Aud ETF Units FP,,"86,031,300",0.004,,
IHD,Ishares S&P DIV Opp ETF Units FP,,"256,057,000",0.012,,
IHEB,Ishares Usdembond Au ETF Units FP,,"12,362,200",0.001,,
IHHY,Ishares GBLHGHYD Aud ETF Units FP,,"25,060,400",0.001,,
IHK,Ishs MSCI HK ETF Chess Depositary Interests 1:1 Ishmscihk,,"15,803,000",0.001,,
IHL,Imhealth Limited,Health Care,"5,414,990",0.000,,
IHOO,Ishares Global 100 ETF Units FP,,"37,034,600",0.002,,
IHR,Intellihr Holdings,Information Technology,"10,127,800",0.000,,
IHS,Interpose Holdings,Energy,"7,518,530",0.000,,
IHVV,Ishares S&P 500 Aud ETF Units FP,,"114,131,000",0.006,,
IHWL,Ishares Core WLD Aud ETF Units FP,,"12,074,100",0.001,,
IIL,Innate Immuno,Health Care,"14,563,300",0.001,,
IJH,Ishares Mid-Cap ETF Chess Depositary Interests 1:1 Ishs&P400,,"142,910,000",0.007,,
IJP,Ishs MSCI Japan ETF Chess Depositary Interests 1:1 Ishmscijp,,"257,989,000",0.012,,
IJR,Ishares Small-Cap Chess Depositary Interests 1:1 Ishs&P600,,"126,115,000",0.006,,
IKE,Ikegps Group Limited Foreign Exempt NZX,Information Technology,"37,656,100",0.002,,
IKO,Ishares MSCI SK ETF Chess Depositary Interests 1:1 Ishmsciko,,"42,318,500",0.002,,
IKW,Ikwezi Mining Limited,Energy,"4,065,000",0.000,,
ILB,Ishares GOV Infl ETF Units FP,,"113,628,000",0.006,,
ILC,ETF Units FP,,"309,766,000",0.015,,
ILU,Iluka Resources,Materials,"4,726,870,000",0.229,,
IMA,Image Resources NL,Materials,"100,035,000",0.005,,
IMC,Immuron Limited,Health Care,"42,119,600",0.002,,
IMD,IMDEX Limited,Materials,"480,551,000",0.023,,
IMF,IMF Bentham Limited,Financials,"464,215,000",0.022,,
IMM,Immutep Limited,Health Care,"111,965,000",0.005,,
IMS,Impelus Limited,Information Technology,"11,073,200",0.001,,
IMU,Imugene Limited,Health Care,"85,644,200",0.004,,
INA,Ingenia Group Units FP Stapled Securities,Real Estate,"557,686,000",0.027,,
IND,Indus Energy NL,Energy,"3,342,530",0.000,,
INF,Infinity Lithium,Materials,"15,760,800",0.001,,
ING,Inghams Group,Consumer Staples,"1,505,760,000",0.073,,
INK,Indago Energy Limited,Energy,"14,817,000",0.001,,
INM,Iron Mountain Incorp Cdi 1:1 Foreign Exempt NYSE,Real Estate,"2,131,370,000",0.103,,
INP,Incentiapay Limited,Information Technology,"59,330,300",0.003,,
INV,Investsmart Group,Financials,"24,534,800",0.001,,
IOD,Iodm Limited,,"4,803,330",0.000,,
IOF,Investa Office Fund Stapled Securities,Real Estate,"3,022,020,000",0.146,,
IOO,Ishs Global 100 ETF Chess Depositary Interests 1:1 ISHGLB100,,"696,708,000",0.034,,
IOT,IOT Group Limited,Consumer Discretionary,"3,692,460",0.000,,
IOZ,Ishares S&P/ASX 200 ETF Units FP,,"1,112,430,000",0.054,,
IP1,Int Payment Tech Limited,Information Technology,"4,404,320",0.000,,
IPB,IPB Petroleum Limited,Energy,"2,725,700",0.000,,
IPC,Imperial Pacific Limited,Financials,"3,519,380",0.000,,
IPD,Impedimed Limited,Health Care,"200,363,000",0.010,,
IPE,IPE Limited,Financials,"8,545,450",0.000,,
IPH,IPH Limited,Industrials,"890,835,000",0.043,,
IPL,Incitec Pivot,Materials,"5,714,150,000",0.277,,
IPT,Impact Minerals,Materials,"15,860,200",0.001,,
IQ3,IQ3CORP Limited,Financials,"25,981,200",0.001,,
IRC,Intermin Resources,Materials,"39,758,600",0.002,,
IRD,Iron Road Limited,Materials,"67,755,400",0.003,,
IRE,Iress Limited,Information Technology,"1,792,010,000",0.087,,
IRI,Integrated Research,Information Technology,"600,883,000",0.029,,
IRL,India Resources,Materials,"2,001,180",0.000,,
IRU,Ishs Russell 2000ETF Chess Depositary Interests 1:1 ISHRUSS2,,"81,490,200",0.004,,
IS3,I Synergy Group Limited,Consumer Discretionary,"27,839,000",0.001,,
ISD,Isentia Group Limited,Information Technology,"176,000,000",0.009,,
ISEC,Ishares Enhancd Cash ETF Units FP,,"27,103,400",0.001,,
ISG,Ishares MSCI SG ETF Chess Depositary Interests 1:1 Ishsing,,"9,603,460",0.000,,
ISO,ETF Units FP,,"88,948,700",0.004,,
ISU,Iselect Limited,Consumer Discretionary,"136,506,000",0.007,,
ISX,Isignthis Limited,Information Technology,"130,123,000",0.006,,
ITD,Itl Health Group Limited,Health Care,"21,388,100",0.001,,
ITL,Integrated Media,Consumer Discretionary,"42,297,800",0.002,,
ITW,Ishares MSCI TW ETF Chess Depositary Interests 1:1 Ishmscit,,"49,444,500",0.002,,
IVC,Invocare Limited,Consumer Discretionary,"1,452,400,000",0.070,,
IVE,Ishs MSCI Eafe ETF Chess Depositary Interests 1:1 Isheafe,,"324,061,000",0.016,,
IVO,Invigor Group Limited,Consumer Discretionary,"7,505,870",0.000,,
IVQ,Invitrocue Limited,Health Care,"48,545,600",0.002,,
IVR,Investigator Res Limited,Materials,"8,879,660",0.000,,
IVT,Inventis Limited,Industrials,"5,621,200",0.000,,
IVV,Ishares S&P 500 ETF Chess Depositary Interests 1:1 Ishs&P500,,"2,647,480,000",0.128,,
IVX,Invion Limited,Health Care,"159,276,000",0.008,,
IWLD,Ishares Core WLD ETF Units FP,,"26,273,500",0.001,,
IXI,Ishs Global Cons ETF Chess Depositary Interests 1:1 Ishconsta,,"53,335,100",0.003,,
IXJ,Ishs Glob Health ETF Chess Depositary Interests 1:1 Ishhealth,,"250,044,000",0.012,,
IXP,Iss Global Telco ETF Chess Depositary Interests 1:1 Ishglbtec,,"46,930,300",0.002,,
IXU,Ixup Limited,Information Technology,"29,134,500",0.001,,
IZZ,Ishs China ETF Chess Depositary Interests 1:1 Ishchina,,"100,781,000",0.005,,
JAL,Jameson Resources,Materials,"34,644,200",0.002,,
JAN,Janison Edu Group,Information Technology,"55,686,200",0.003,,
JAT,Jatenergy Limited,Consumer Discretionary,"82,434,300",0.004,,
JAY,Jayride Group,Consumer Discretionary,"25,888,900",0.001,,
JBH,JB Hi-Fi Limited,Consumer Discretionary,"2,756,050,000",0.134,,
JCI,JC Intern Group Limited,Industrials,"33,953,400",0.002,,
JCS,Jcurve Solutions,Information Technology,"11,147,100",0.001,,
JDR,Jadar Lithium Limited,Materials,"4,709,330",0.000,,
JHC,Japara Healthcare LT,Health Care,"495,880,000",0.024,,
JHG,Janus Henderson Chess Depositary Interests,Financials,"3,147,040,000",0.152,,
JHL,JAYEX Healthcare Limited,Health Care,"3,072,460",0.000,,
JHX,James Hardie Indust Chess Depositary Interests 1:1,Materials,"9,788,590,000",0.474,,
JIN,Jumbo Interactive,Consumer Discretionary,"249,237,000",0.012,,
JIP,Jack-in Group Limited Chess Depositary Interests 1:1,Industrials,"20,113,300",0.001,,
JJF,Jiajiafu Mod Agr Limited,Consumer Staples,"8,518,400",0.000,,
JKA,Jacka Resources Limited,Energy,"1,536,200",0.000,,
JKL,Justkapital Limited,Financials,"10,207,400",0.000,,
JLG,Johns LYNG Group,Industrials,"316,182,000",0.015,,
JMS,Jupiter Mines,Materials,"681,919,000",0.033,,
JPR,Jupiter Energy,Energy,"7,208,750",0.000,,
JRL,Jindalee Resources,Materials,"6,978,960",0.000,,
JRV,Jervois Mining,Materials,"73,586,300",0.004,,
JVG,JV Global Limited,Industrials,"2,506,440",0.000,,
JYC,Joyce Corporation,Consumer Discretionary,"41,520,300",0.002,,
K2F,K2FLY Limited,Information Technology,"9,295,990",0.000,,
KAI,Kairos Minerals Limited,Materials,"36,845,600",0.002,,
KAM,K2 Asset MGMT Holdings,Financials,"36,063,100",0.002,,
KAR,Karoon Gas Australia,Energy,"270,147,000",0.013,,
KAS,Kasbah Resources,Materials,"17,766,400",0.001,,
KAT,Katana Capital,,"32,672,100",0.002,,
KBC,Keybridge Capital,Financials,"14,385,300",0.001,,
KBL,KBL Mining Limited,Materials,"2,687,550",0.000,,
KCN,Kingsgate Consolid,Materials,"65,605,500",0.003,,
KDR,Kidman Resources Limited,Materials,"896,762,000",0.043,,
KEY,KEY Petroleum,Energy,"12,126,200",0.001,,
KFE,Kogi Iron Limited,Materials,"117,903,000",0.006,,
KGD,Kula Gold Limited,Materials,"7,513,160",0.000,,
KGL,KGL Resources Limited,Materials,"89,921,300",0.004,,
KGM,Kalnorth Gold Limited,Materials,"8,048,160",0.000,,
KGN,Kogan.com Limited,Consumer Discretionary,"849,664,000",0.041,,
KII,K2GLOBALEQUITIESFUND Trading Managed Fund Units FP,,"17,343,900",0.001,,
KIK,Kairiki Energy Limited,Energy,"2,792,980",0.000,,
KIN,KIN Min NL,Materials,"28,813,000",0.001,,
KIS,King Island,Materials,"9,995,340",0.000,,
KKL,Kollakorn Corp Limited,Information Technology,"2,086,900",0.000,,
KKO,Kinetiko Energy Limited,Energy,"5,092,240",0.000,,
KKT,Konekt Limited,Health Care,"31,826,100",0.002,,
KLA,Kirkland Lake Gold Cdi 1:1 Foreign Exempt Xtse,Materials,"25,100,000",0.001,,
KLH,Kalia Limited,Energy,"16,274,800",0.001,,
KLL,Kalium Lakes Limited,Materials,"49,290,400",0.002,,
KLO,Kingsland Global Limited Chess Depositary Interests 1:1,Real Estate,"54,675,000",0.003,,
KLR,Kaili Resources Limited 125c,Energy,"3,439,340",0.000,,
KMD,Kathmandu Hold Limited,Consumer Discretionary,"506,958,000",0.025,,
KME,Kip Mcgrath Edu.CNTR,Consumer Discretionary,"27,020,600",0.001,,
KMT,Kopore Metals Limited,Materials,"12,590,400",0.001,,
KNH,Koon Holdings Chess Depositary Interest 1:1,Industrials,"18,679,900",0.001,,
KNL,Kibaran Resources,Materials,"34,209,300",0.002,,
KNM,Kneomedia Limited,Information Technology,"44,729,100",0.002,,
KNO,Knosys Limited,Information Technology,"5,917,810",0.000,,
KOR,Korab Resources,Materials,"10,314,100",0.000,,
KOV,Korvest Limited,Industrials,"23,429,000",0.001,,
KP2,Kore Potash Plc Chess Depositary Interests 1:1,Materials,"85,223,700",0.004,,
KPC,Kazakhstan Corp Limited,Materials,"38,535,100",0.002,,
KPG,Kelly Partners Group,Industrials,"56,416,500",0.003,,
KPL,Kina Petroleum Limited,Energy,"28,323,700",0.001,,
KPO,Kalina Power Limited,Utilities,"8,870,460",0.000,,
KPT,Kangaroo Plantation,Materials,"108,407,000",0.005,,
KRC,King River Copper,Materials,"93,756,300",0.005,,
KRL,Kangaroo Res Limited,Materials,"178,590,000",0.009,,
KRM,Kingsrose Mining Limited,Materials,"54,020,500",0.003,,
KRS,Kresta Holdings,Consumer Discretionary,"7,212,410",0.000,,
KRX,Koppar Resources,Materials,"6,279,380",0.000,,
KSC,K & S Corporation,Industrials,"216,058,000",0.010,,
KSL,Kina Securities Limited,Financials,"137,754,000",0.007,,
KSM,K2 Au Small Cap Fund Trading Managed Fund Units FP,,"14,487,800",0.001,,
KSN,Kingston Resources,Materials,"26,729,100",0.001,,
KTA,Krakatoa Resources,Materials,"4,025,000",0.000,,
KTE,K2 Energy Limited,Information Technology,"2,688,400",0.000,,
KYK,KYCKR Limited,Information Technology,"11,586,100",0.001,,
KZA,KAZIA Therapeutics,Health Care,"31,708,300",0.002,,
KZR,Kalamazoo Resources,Materials,"5,614,660",0.000,,
LAA,Latam Autos Limited,Information Technology,"47,329,700",0.002,,
LAM,Laramide Res Limited Chess Depositary Interests 1:1,Energy,"259,667",0.000,,
LAU,Lindsay Australia,Industrials,"111,778,000",0.005,,
LBL,Laserbond Limited,Industrials,"11,168,800",0.001,,
LBT,LBT Innovations,Health Care,"23,106,600",0.001,,
LCA,Litigation Cap Limited,Financials,"36,622,000",0.002,,
LCD,Latitude Consolidate,Materials,"4,676,530",0.000,,
LCE,London City EQU. Limited,Financials,"9,297,200",0.000,,
LCK,Leigh CRK Energy Limited,Energy,"81,103,000",0.004,,
LCM,Logicamms Limited,Industrials,"15,530,600",0.001,,
LCT,Living Cell Tech,Health Care,"16,000,300",0.001,,
LCY,Legacy Iron Ore,Materials,"5,873,060",0.000,,
LEG,Legend Mining,Materials,"63,374,900",0.003,,
LEP,Ale Property Group Ordinary/Units FP Stapled Securities,Real Estate,"1,096,310,000",0.053,,
LER,Leaf Res Limited,Materials,"16,968,500",0.001,,
LEX,Lefroy Exploration 50c US,Materials,"8,407,360",0.000,,
LGD,Legend Corporation,Industrials,"53,097,300",0.003,,
LGO,Longreach Oil Limited,Energy,"9,714,670",0.000,,
LGR,Lanka Graphite Limited,Materials,"5,421,070",0.000,,
LHB,Lionhub Group Limited,Real Estate,"44,622,900",0.002,,
LHM,Land Homes Group Limited,Real Estate,"23,086,600",0.001,,
LI3,Lcme Limited,Materials,"5,164,030",0.000,,
LIC,Lifestyle Communit,Real Estate,"551,998,000",0.027,,
LIN,Lindian Resources,Materials,"4,017,180",0.000,,
LIO,Lion Energy Limited,Energy,"4,083,790",0.000,,
LIT,Lithium Australia NL,Materials,"52,432,400",0.003,,
LKE,Lake Resources,Materials,"38,210,500",0.002,,
LKO,Lakes Oil NL,Energy,"82,885,200",0.004,,
LLC,Lendlease Group Unit/ Stapled Securities,Real Estate,"10,849,200,000",0.526,,
LLO,Lion One Metals Limited Chess Depositary Interests 1:1,Materials,"5,605,050",0.000,,
LMG,Latrobe Magnesium,Materials,"11,309,400",0.001,,
LML,Lincoln Minerals,Materials,"13,799,600",0.001,,
LMW,Landmark White Limited,Real Estate,"42,621,600",0.002,,
LNG,Liquefied Natural,Energy,"226,029,000",0.011,,
LNK,Link Admin HLDG,Information Technology,"3,632,660,000",0.176,,
LNU,Linius Tech Limited,Information Technology,"65,713,000",0.003,,
LNY,Laneway Res Limited,Materials,"10,040,200",0.000,,
LOM,Lucapa Diamond Limited,Materials,"123,487,000",0.006,,
LON,Longtable Group Limited,Consumer Staples,"76,636,100",0.004,,
LOV,Lovisa Holdings Limited,Consumer Discretionary,"1,216,090,000",0.059,,
LPD,Lepidico Limited,Materials,"116,061,000",0.006,,
LPE,Locality Planning,Utilities,"47,700,200",0.002,,
LPI,Lithium PWR Int Limited,Materials,"56,817,900",0.003,,
LRM,Lustrum Minerals,Energy,"4,444,880",0.000,,
LRS,Latin Resources Limited,Materials,"18,356,600",0.001,,
LRT,Lowell Res Fund Ordinary Units FP,,"22,377,900",0.001,,
LSA,Lachlan Star Limited,Materials,"6,030,920",0.000,,
LSF,L1 Long Short Fund,,"1,349,620,000",0.065,,
LSH,Lifespot Health Limited,Health Care,"5,906,250",0.000,,
LSR,Lodestar Minerals,Materials,"21,047,900",0.001,,
LSX,Lion Selection Group,Financials,"49,544,500",0.002,,
LTN,Lantern Hotel Group Units/ Stapled Securities,Real Estate,"3,532,810",0.000,,
LTR,Liontown Resources,Materials,"35,743,500",0.002,,
LVE,Love Group Global,Information Technology,"1,446,470",0.000,,
LVH,Livehire Limited,Information Technology,"119,192,000",0.006,,
LVT,Livetiles Limited,Information Technology,"200,992,000",0.010,,
LWP,LWP Technologies Limited,Energy,"5,929,870",0.000,,
LYC,Lynas Corporation,Materials,"1,603,360,000",0.078,,
LYL,Lycopodium Limited,Industrials,"183,961,000",0.009,,
M7T,MACH7 Tech Limited,Health Care,"28,975,600",0.001,,
MA1,Monash Absolute,,"40,900,400",0.002,,
MAG,Magmatic Resrce Limited,Materials,"3,018,270",0.000,,
MAH,Macmahon Holdings,Materials,"463,322,000",0.022,,
MAI,Mainstream Group,Financials,"81,510,400",0.004,,
MAM,Microequities,Financials,"91,727,300",0.004,,
MAQ,Macquarie Telecom GP,Telecommunication Services,"392,369,000",0.019,,
MAR,Malachite Resources,Materials,"6,775,440",0.000,,
MAS,Mesa Minerals Limited,Materials,"4,226,500",0.000,,
MAT,Matsa Resources,Materials,"29,191,400",0.001,,
MAU,Magnetic Resources,Materials,"23,565,700",0.001,,
MAX,Millinium Alt Fund Ordinary Units FP,,"7,931,920",0.000,,
