ASX Listed Companies (1 June 2018),,,,,,
Code,Company,Sector,Market Cap,Weight(%),,Total Index Market Cap
AU8,Aumake Int Limited,Consumer Discretionary,"48,221,100",0.002,,
AUB,AUB Group Limited,Financials,"913,005,000",0.044,,
AUC,Ausgold Limited,Materials,"16,737,300",0.001,,
AUDS,Beta Strong AUD Trading Managed Units FP,,"2,976,000",0.000,,
AUH,Austchina Holdings,Energy,"5,576,920",0.000,,
AUI,Australian United in,Financials,"1,042,890,000",0.051,,
AUL,Austar Gold Limited,Materials,"16,611,000",0.001,,
AUMF,Ishares Edge Au MF ETF Units FP,,"9,245,980",0.000,,
AUP,Aurora Property Ordinary Units FP,,"7,029,410",0.000,,
AUQ,Alara Resources Limited,Materials,"18,870,500",0.001,,
AUR,Auris Minerals Limited,Materials,"35,063,200",0.002,,
AUST,Beta Managed Risk Au Trading Managed Fund Units FP,,"25,849,400",0.001,,
AUZ,Australian Mines Limited,Materials,"267,780,000",0.013,,
AVA,AVA Risk Group Limited,Information Technology,"29,553,200",0.001,,
AVB,Avanco Resources Limited,Materials,"419,162,000",0.020,,
AVC,Auctus Alt INV Limited,Financials,"11,126,400",0.001,,
AVD,Antilles Oil and Gas,Energy,"3,420,870",0.000,,
AVG,Aust Vintage Limited,Consumer Staples,"162,536,000",0.008,,
AVH,Avita Medical Limited,Health Care,"52,956,900",0.003,,
AVJ,Avjennings Limited,Real Estate,"292,246,000",0.014,,
AVL,Aust Vanadium Limited,Materials,"64,134,000",0.003,,
AVN,Aventus Retail Fund Ordinary Units FP,Real Estate,"1,100,860,000",0.053,,
AVQ,Axiom Mining Limited Chess Depositary Interests 1:1,Materials,"58,697,500",0.003,,
AVW,Avira Resources Limited,Materials,"3,405,000",0.000,,
AVZ,AVZ Minerals Limited,Materials,"270,923,000",0.013,,
AWC,Alumina Limited,Materials,"7,717,980,000",0.374,,
AWN,Arowana Internat Limited,Industrials,"42,706,100",0.002,,
AWV,Anova Metals Limited,Materials,"34,447,600",0.002,,
AWY,Aust Whisky Holdings,Consumer Staples,"25,996,600",0.001,,
AX1,Accent Group Limited,Consumer Discretionary,"862,243,000",0.042,,
AX8,Accelerate Resources,,"3,858,400",0.000,,
AXE,Archer Exploration,Materials,"21,937,700",0.001,,
AXI,Axiom Properties,Real Estate,"24,773,700",0.001,,
AXL,Axsesstoday Limited,Financials,"155,175,000",0.008,,
AXP,Airxpanders Inc Cdi Forus,Health Care,"197,078,000",0.010,,
AXT,Argo Exploration,Materials,"2,927,520",0.000,,
AYF,Australian Enhanced Units FP,,"19,840,500",0.001,,
AYG,Axxis Technology Group,Information Technology,"38,938",0.000,,
AYI,A1 Invest & Res Limited,Financials,"10,807,300",0.001,,
AYK,Amyf Four Limited,,"18,922,000",0.001,,
AYM,Australia United Min,Materials,"5,078,130",0.000,,
AYR,Alloy Resources,Materials,"11,610,700",0.001,,
AYS,Amaysim Aus Limited,Telecommunication Services,"169,688,000",0.008,,
AYZ,Amyf Five Limited,,"55,101,700",0.003,,
AZI,Alta ZINC Limited,Materials,"10,951,700",0.001,,
AZJ,Aurizon Holdings Limited,Industrials,"8,577,450,000",0.416,,
AZM,Azumah Resources,Materials,"24,246,700",0.001,,
AZS,AZURE Minerals,Materials,"26,085,000",0.001,,
AZV,AZURE Healthcare Limited,Health Care,"14,893,600",0.001,,
AZY,Antipa Minerals Limited,Materials,"17,271,000",0.001,,
AZZ,Antares Energy Limited,Energy,"165,500,000",0.008,,
BAF,Blue Sky Alt Access,,"169,506,000",0.008,,
BAH,Bojun Agriculture,Consumer Staples,"36,453,600",0.002,,
BAL,Bellamy's Australia,Consumer Staples,"2,005,700,000",0.097,,
BAP,Bapcor Limited,Consumer Discretionary,"1,877,640,000",0.091,,
BAR,Barra Resources,Materials,"23,213,600",0.001,,
BAS,Bass Oil Limited,Energy,"13,030,800",0.001,,
BAT,Battery Minerals Limited,Materials,"53,277,600",0.003,,
BAU,Bauxite Resource Limited,Materials,"12,865,300",0.001,,
BBL,Brisbane Broncos,Consumer Discretionary,"52,941,900",0.003,,
BBN,Baby Bunting Group Limited,Consumer Discretionary,"186,451,000",0.009,,
BBOZ,Beta Aust STR Bear Trading Managed Fund Units FP,,"73,656,000",0.004,,
BBR,Bora Bora Resources,Materials,"2,418,490",0.000,,
BBUS,Beta US Strong Bear Trading Managed Fund Units FP,,"58,822,500",0.003,,
BBX,BBX Minerals Limited,Materials,"71,391,100",0.003,,
BC8,Black Cat Syndicate,Materials,"9,975,640",0.000,,
BCB,Bowen Coal Limited,Materials,"4,916,220",0.000,,
BCI,BCI Minerals Limited,Materials,"59,245,300",0.003,,
BCK,Brockman Mining Limited,Materials,"183,240,000",0.009,,
BCL,A.C.N. 112 682 158,Energy,"40,712,300",0.002,,
BCN,Beacon Minerals,Materials,"31,882,700",0.002,,
BCT,Bluechiip Limited,Information Technology,"21,041,700",0.001,,
BD1,BARD1 Life Sciences,,"10,185,700",0.000,,
BDA,Bod Australia,Consumer Discretionary,"30,171,900",0.001,,
BDI,Blina Minerals NL,Materials,"8,627,760",0.000,,
BDR,Beadell Resource Limited,Materials,"88,894,400",0.004,,
BEAR,Betashares Aust BEAR ETF Units FP,,"49,595,900",0.002,,
BEE,Broo Limited,Consumer Staples,"16,559,700",0.001,,
BEL,Bentley Capital Limited,Financials,"8,754,710",0.000,,
BEM,Blackearth Minerals,Materials,"4,089,060",0.000,,
BEN,Bendigo and Adelaide,Financials,"5,215,920,000",0.253,,
BFC,Beston Global Limited,Consumer Staples,"79,049,000",0.004,,
BFG,Bell Financial Group,Financials,"219,175,000",0.011,,
BGA,Bega Cheese Limited,Consumer Staples,"1,341,650,000",0.065,,
BGH,Bligh Resources Limited,Materials,"13,152,000",0.001,,
BGP,Briscoe Group Foreign Exempt NZX,,"713,941,000",0.035,,
BGR,Bronson Group Limited,Financials,"259,888",0.000,,
BGS,Birimian Limited,Materials,"123,350,000",0.006,,
BGT,Bio-Gene Technology,Materials,"17,067,700",0.001,,
BHD,Benjamin Horngld Limited,,"18,116,400",0.001,,
BHL,Boyuan Holdings,Real Estate,"214,456,000",0.010,,
BHP,BHP Billiton Limited,Materials,"105,311,000,000",5.102,,
BID,Bidenergy Limited,Information Technology,"26,544,300",0.001,,
BIG,BIG Un Limited,Information Technology,"388,860,000",0.019,,
BILL,Ishares Core Cash ETF Units FP,,"182,007,000",0.009,,
BIN,Bingo Industries Limited,Industrials,"1,116,040,000",0.054,,
BIQ,Buildingiq Inc Cdi 1:1,Information Technology,"4,321,230",0.000,,
BIR,Birrabong Corp Limited,,"117,633",0.000,,
BIS,Bisalloy Steel,Materials,"38,395,000",0.002,,
BIT,Biotron Limited,Health Care,"7,846,610",0.000,,
BITRB,Biotron Limited Rights - Applications Close 06-Jun-2018,,"392,315",0.000,,
BKI,BKI Investment Limited,Financials,"939,735,000",0.046,,
BKL,Blackmores Limited,Consumer Staples,"2,626,890,000",0.127,,
BKM,BKM Management Limited,Industrials,"3,644,070",0.000,,
BKP,Baraka Energy Res,Energy,"2,645,150",0.000,,
BKT,Black Rock Mining,Materials,"21,299,300",0.001,,
BKW,Brickworks Limited,Materials,"2,327,780,000",0.113,,
BKY,Berkeley Energia Limited,Energy,"198,654,000",0.010,,
BLA,Blue Sky Limited,Financials,"201,573,000",0.010,,
BLD,Boral Limited,Materials,"7,350,520,000",0.356,,
BLG,Bluglass Limited,Information Technology,"152,744,000",0.007,,
BLK,Blackham Resources,Materials,"94,913,900",0.005,,
BLT,Benitec Biopharma,Health Care,"36,396,800",0.002,,
BLX,Beacon Lighting Group,Consumer Discretionary,"347,460,000",0.017,,
BLY,Boart Longyear,Industrials,"289,188,000",0.014,,
BLZ,BLAZE International,Energy,"8,498,750",0.000,,
BMG,BMG Resources Limited,Materials,"5,018,480",0.000,,
BMH,Baumart Holdings Limited,Industrials,"34,738,700",0.002,,
BMN,Bannerman Resources,Energy,"36,806,200",0.002,,
BMP,Buymyplace Limited,Real Estate,"8,101,020",0.000,,
BMT,Berkut Minerals Limited,Materials,"5,250,380",0.000,,
